List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,DOB,Age,Specialism,Batting sytle,Player description,Previous IPLTeam(s),Team 2024,Total IPL played,C/U/A,Price Rs Lakh
392,54,UWK6,Baba,Indrajith,India,08-07-1994,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,KKR,,,Uncapped,30
393,54,UWK6,Muhammed,Khan,India,30-12-2000,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
394,54,UWK6,Bhagmender,Lather,India,18-06-1997,27,WICKETKEEPER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
395,55,UFA6,Baltej,Dhanda,India,04-11-1990,34,BOWLER,RHB,RIGHT ARM Fast Medium,PBKS,,,Uncapped,30
396,55,UFA6,Ali,Khan,USA,13-12-1990,34,BOWLER,RHB,RIGHT ARM Fast,KKR,,,Associate,30
397,55,UFA6,Ravi,Kumar,India,29-10-2003,21,BOWLER,LHB,LEFT ARM Fast Medium,,,,Uncapped,30
398,55,UFA6,Vineet,Panwar,India,28-06-1998,26,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
399,55,UFA6,Vidyadhar,Patil,India,05-09-2000,24,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
400,55,UFA6,Aradhya,Shukla,India,06-12-2004,20,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
401,55,UFA6,Abhinandan,Singh,India,30-03-1997,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
402,56,AL7,Cooper,Connolly,Australia,22-08-2003,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Capped,75
403,56,AL7,Dushan,Hemantha,Sri Lanka,24-05-1994,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Capped,75
404,56,AL7,Jason,Holder,West Indies,05-11-1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,"CSK,KKR,SRH,LSG,RR",,,Capped,200
405,56,AL7,Karim,Janat,Afghanistan,11-08-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,75
406,56,AL7,Jimmy,Neesham,New Zealand,17-09-1990,34,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,"DC,PBKS,MI,RR",,,Capped,150
407,56,AL7,Daniel,Sams,Australia,27-10-1992,32,ALL-ROUNDER,RHB,LEFT ARM Fast,"DC,RCB,MI,LSG",,,Capped,150
408,56,AL7,William,Sutherland,Australia,27-10-1999,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Capped,75
409,57,FA7,Taskin,Ahmed,Bangladesh,03-04-1995,30,BOWLER,LHB,RIGHT ARM Fast,,,,Capped,100
410,57,FA7,Ben,Dwarshuis,Australia,23-06-1994,30,BOWLER,LHB,LEFT ARM Fast,"PBKS,DC",,,Capped,75
411,57,FA7,Obed,McCoy,West Indies,04-01-1997,28,BOWLER,RHB,LEFT ARM Fast,RR,,,Capped,125
412,57,FA7,Riley,Meredith,Australia,21-06-1996,28,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,150
413,57,FA7,Lance,Morris,Australia,28-03-1998,27,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,125
414,57,FA7,Olly,Stone,England,09-10-1993,31,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,75
415,57,FA7,Daniel,Worrall,England,10-07-1991,33,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Capped,150
416,58,UBA7,Pyla,Avinash,India,07-07-2000,24,BATTER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
417,58,UBA7,Kiran,Chormale,India,11-10-2005,19,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
418,58,UBA7,Ashish,Dahariya,India,17-10-2004,20,BATTER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
419,58,UBA7,Tushar,Raheja,India,07-02-2001,24,BATTER,LHB,,,,,Uncapped,30
420,58,UBA7,Sarthak,Ranjan,India,25-09-1996,28,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
421,58,UBA7,Abhijeet,Tomar,India,14-03-1995,30,BATTER,RHB,RIGHT ARM Off Spin,KKR,,,Uncapped,30
422,59,UAL7,Krish,Bhagat,India,06-11-2004,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
423,59,UAL7,Sohraab,Dhaliwal,India,18-11-1991,33,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
424,59,UAL7,Harsh,Dubey,India,23-07-2002,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
425,59,UAL7,Ramakrishna,Ghosh,India,28-08-1997,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,30
426,59,UAL7,Raj,Limbani,India,02-02-2005,20,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,Uncapped,30
427,59,UAL7,Ninad,Rathva,India,10-03-1999,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
428,59,UAL7,Vivrant,Sharma,India,30-10-1999,25,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,SRH,,,Uncapped,30
429,59,UAL7,Shiva,Singh,India,16-10-1999,25,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
430,60,UFA7,Sayed Irfan,Aftab,India,20-11-2003,21,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
431,60,UFA7,Anirudh,Chowdhary,India,08-11-1999,25,BOWLER,LHB,RIGHT ARM Fast Medium,,,,Uncapped,30
432,60,UFA7,Anshuman,Hooda,India,04-01-2001,24,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
433,60,UFA7,Siddharth,Kaul,India,19-05-1990,34,BOWLER,RHB,RIGHT ARM Fast Medium,"KKR,DC,SRH,RCB",,,Uncapped,40
434,60,UFA7,Prashant Sai,Painkra,India,08-09-2002,22,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
435,60,UFA7,Venkata Satyanarayana,Penmetsa,India,10-07-1999,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
436,60,UFA7,Yeddala,Reddy,India,13-12-1999,25,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
437,61,AL8,Zak,Foulkes,New Zealand,05-06-2002,22,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Capped,75
438,61,AL8,Chris,Green,Australia,01-10-1993,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,KKR,,,Capped,100
439,61,AL8,Shakib Al,Hasan,Bangladesh,24-03-1987,38,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,"SRH,KKR",,,Capped,100
440,61,AL8,Mehidy Hasan,Miraz,Bangladesh,25-10-1997,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Capped,100
441,61,AL8,Wiaan,Mulder,South Africa,19-02-1998,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Capped,75
442,61,AL8,Dwaine,Pretorius,South Africa,29-03-1989,36,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,CSK,,,Capped,75
443,61,AL8,Dasun,Shanaka,Sri Lanka,09-09-1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,GT,,,Capped,75
444,62,FA8,Shoriful,Islam,Bangladesh,03-06-2001,23,BOWLER,LHB,LEFT ARM Fast Medium,,,,Capped,75
445,62,FA8,Blessing,Muzarabani,Zimbabwe,02-10-1996,28,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,75
446,62,FA8,Matthew,Potts,England,29-10-1998,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Capped,150
447,62,FA8,Tanzim Hasan,Sakib,Bangladesh,20-10-2002,22,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,75
448,62,FA8,Benjamin,Sears,New Zealand,11-02-1998,27,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,100
449,62,FA8,Tim,Southee,New Zealand,11-12-1988,36,BOWLER,RHB,RIGHT ARM Fast Medium,"CSK,RR,MI,RCB,KKR",,,Capped,150
450,62,FA8,John,Turner,England,10-04-2001,23,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,150
451,63,UBA8,Joshua,Brown,Australia,26-12-1993,31,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
452,63,UBA8,Oliver,Davies,Australia,14-10-2000,24,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
453,63,UBA8,Bevan John,Jacobs,New Zealand,06-05-2002,22,BATTER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
454,63,UBA8,Atharva,Kale,India,21-09-1999,25,BATTER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
455,63,UBA8,Abhishek,Nair,India,06-06-2004,20,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
456,63,UBA8,Vishwanath Pratap,Singh,India,18-06-1998,26,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
457,64,UAL8,Nasir,Lone,India,05-09-1997,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
458,64,UAL8,Brandon,McMullen,Scotland,18-10-1999,25,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Associate,30
459,64,UAL8,S.,Midhun,India,07-10-1994,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,RR,,,Uncapped,30
460,64,UAL8,Abid,Mushtaq,India,17-01-1997,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
461,64,UAL8,Mahesh,Pithiya,India,24-12-2001,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
462,64,UAL8,Maramreddy,Reddy,India,28-10-2002,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
463,64,UAL8,Atit,Sheth,India,03-02-1996,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
464,64,UAL8,Jonty,Sidhu,India,09-12-1997,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
465,65,UFA8,Mohit,Avasthi,India,18-11-1992,32,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
466,65,UFA8,Faridoon,Dawoodzai,Afghanistan,26-11-2005,19,BOWLER,LHB,LEFT ARM Fast Medium,,,,Uncapped,30
467,65,UFA8,Praful,Hinge,India,18-01-2002,23,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
468,65,UFA8,Pankaj,Jaswal,India,20-09-1995,29,BOWLER,RHB,RIGHT ARM Fast,MI,,,Uncapped,30
469,65,UFA8,Vijay,Kumar,India,24-12-2005,19,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
470,65,UFA8,Ashok,Sharma,India,17-06-2002,22,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
471,65,UFA8,Mujtaba,Yousuf,India,07-06-2002,22,BOWLER,LHB,LEFT ARM Fast Medium,,,,Uncapped,30
472,66,AL9,Ashton,Agar,Australia,14-10-1993,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Capped,125
473,66,AL9,Roston,Chase,West Indies,22-03-1992,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Capped,75
474,66,AL9,Junior,Dala,South Africa,29-12-1989,35,ALL-ROUNDER,RHB,RIGHT ARM Fast,DC,,,Capped,75
475,66,AL9,Mahedi,Hasan,Bangladesh,12-12-1994,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Capped,75
476,66,AL9,Nangeyalia,Kharote,Afghanistan,25-04-2004,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Capped,75
477,66,AL9,Dan,Lawrence,England,12-07-1997,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Capped,100
478,66,AL9,Nathan,Smith,New Zealand,15-07-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Capped,100
479,67,FA9,James,Anderson,England,30-07-1982,42,BOWLER,LHB,RIGHT ARM Fast,,,,Capped,125
480,67,FA9,Kyle,Jamieson,New Zealand,30-12-1994,30,BOWLER,RHB,RIGHT ARM Fast,"RCB,CSK",,,Capped,150
481,67,FA9,Chris,Jordan,England,04-10-1988,36,BOWLER,RHB,RIGHT ARM Fast,"RCB,SRH,PBKS,CSK,MI",,,Capped,200
482,67,FA9,Hasan,Mahmud,Bangladesh,12-02-1997,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Capped,75
483,67,FA9,Tymal,Mills,England,12-08-1992,32,BOWLER,RHB,LEFT ARM Fast,"RCB,MI",,,Capped,200
484,67,FA9,David,Payne,England,15-02-1991,34,BOWLER,RHB,LEFT ARM Fast Medium,,,,Capped,100
485,67,FA9,Nahid,Rana,Bangladesh,25-10-2002,22,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,75
486,68,UBA9,Prayas Ray,Barman,India,25-10-2002,22,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
487,68,UBA9,Jafar,Jamal,India,20-03-1990,35,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
488,68,UBA9,Ayaz,Khan,India,10-09-2002,22,BATTER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
489,68,UBA9,Kaushik,Maity,India,14-10-1999,25,BATTER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
490,68,UBA9,Rituraj,Sharma,India,27-11-2002,22,BATTER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
491,68,UBA9,Vaibhav,Suryavanshi,India,27-03-2011,14,BATTER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
492,69,UAL9,Kartik,Chadha,India,08-01-2004,21,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,,Uncapped,30
493,69,UAL9,Writtick,Chatterjee,India,28-09-1992,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,PBKS,,,Uncapped,30
494,69,UAL9,Prerit,Dutta,India,22-09-1998,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
495,69,UAL9,Rajneesh,Gurbani,India,28-01-1993,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
496,69,UAL9,Shubhang,Hegde,India,30-03-2001,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
497,69,UAL9,Saransh,Jain,India,31-03-1993,32,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
498,69,UAL9,Ripal,Patel,India,28-09-1995,29,ALL-ROUNDER,RHB,RIGHT ARM Medium,DC,,,Uncapped,30
499,69,UAL9,Akash,Vashisht,India,17-12-1994,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,RR,,,Uncapped,30
500,70,UFA9,Anirudh,Kanwar,India,13-03-1994,31,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
501,70,UFA9,Shubham,Kapse,India,22-07-1994,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
502,70,UFA9,Atif,Mushtaq,India,20-03-2003,22,BOWLER,LHB,RIGHT ARM Fast,,,,Uncapped,30
503,70,UFA9,Dipesh,Parwani,India,14-01-2000,25,BOWLER,LHB,LEFT ARM Fast Medium,,,,Uncapped,30
504,70,UFA9,Manish,Reddy,India,07-01-1999,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
505,70,UFA9,Chetan,Sharma,India,23-11-2005,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
506,70,UFA9,Avinash,Singh,India,05-07-1998,26,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
507,72,AL10,Alick,Athanaze,West Indies,07-12-1998,26,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Capped,75
508,72,AL10,Hilton,Cartwright,Australia,14-02-1992,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Capped,75
509,72,AL10,Dominic,Drakes,West Indies,06-02-1998,27,ALL-ROUNDER,LHB,LEFT ARM Fast,GT,,,Capped,125
510,72,FA10,Daryn,Dupavillon,South Africa,15-07-1994,30,BOWLER,RHB,RIGHT ARM Fast,,,,Capped,75
511,72,AL10,Matthew,Forde,West Indies,29-04-2002,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,125
512,72,AL10,Patrick,Kruger,South Africa,03-02-1995,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Capped,75
513,72,FA10,Lahiru,Kumara,Sri Lanka,13-02-1997,28,BOWLER,LHB,RIGHT ARM Fast,,,,Capped,75
514,72,AL10,Michael,Neser,Australia,29-03-1990,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,PBKS,,,Capped,75
515,72,FA10,Richard,Ngarava,Zimbabwe,29-12-1997,27,BOWLER,LHB,LEFT ARM Fast Medium,,,,Capped,75
516,72,FA10,Wayne,Parnell,South Africa,30-07-1989,35,BOWLER,LHB,LEFT ARM Fast Medium,"PWI,DC,RCB",,,Capped,100
517,72,AL10,Keemo,Paul,West Indies,21-02-1998,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,DC,,,Capped,125
518,72,AL10,Odean,Smith,West Indies,01-11-1996,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,"PBKS,GT",,,Capped,75
519,72,FA10,Andrew,Tye,Australia,12-12-1986,38,BOWLER,RHB,RIGHT ARM Fast Medium,"GL,PBKS,RR,LSG",,,Capped,75
520,73,UAL10,Ajay,Ahlawat,India,27-05-1997,27,ALL-ROUNDER,LHB,LEFT ARM Fast,,,,Uncapped,40
521,73,UAL10,Corbin,Bosch,South Africa,10-09-1994,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,RR,,,Uncapped,30
522,73,UAL10,Mayank,Gusain,India,25-09-2001,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,30
523,73,UAL10,Mukhtar,Hussain,India,11-01-1999,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
524,73,UAL10,Girinath,Reddy,India,08-10-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
525,73,UAL10,Jalaj,Saxena,India,15-12-1986,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,"MI,RCB,DC,PBKS",,,Uncapped,40
526,73,UAL10,Yajas,Sharma,India,21-08-2005,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
527,73,UAL10,Sanjay,Yadav,India,10-05-1995,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,"KKR, SRH,MI",,,Uncapped,30
528,74,UFA10,Vishal,Godara,India,25-02-2003,22,BOWLER,LHB,RIGHT ARM Medium,,,,Uncapped,30
529,74,UFA10,Eshan,Malinga,Sri Lanka,04-02-2001,24,BOWLER,LHB,RIGHT ARM Fast,,,,Uncapped,30
530,74,UFA10,Samarth,Nagraj,India,21-10-2005,19,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
531,74,UFA10,Abhishek,Saini,India,02-12-1998,26,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
532,74,UFA10,Dumindu,Sewmina,Sri Lanka,19-12-2004,20,BOWLER,RHB,RIGHT ARM Medium,,,,Uncapped,30
533,74,UFA10,Pradyuman Kumar,Singh,India,03-12-2001,23,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
534,74,UFA10,Vasu,Vats,India,08-09-2002,22,BOWLER,RHB,RIGHT ARM Fast,,,,Uncapped,30
535,75,UAL11,Umang,Kumar,India,11-12-2000,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
536,75,UAL11,Mohamed,Ali,India,03-10-2004,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
537,75,UAL11,Atharva,Ankolekar,India,26-09-2000,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
538,75,UAL11,Vaisakh,Chandran,India,31-05-1996,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
539,75,UAL11,Auqib,Dar,India,04-11-1996,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
540,75,UAL11,Rohit,Rayudu,India,29-07-1994,30,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
541,75,UAL11,Uday,Saharan,India,08-09-2004,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
542,75,UAL11,Ayush,Vartak,India,29-10-2004,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
543,76,UAL12,Baba,Aparajith,India,08-07-1994,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,RPS,,,Uncapped,30
544,76,UAL12,Sumit Kumar,Beniwal,India,11-04-1999,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,30
545,76,UAL12,Nishunk,Birla,India,22-10-2004,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
546,76,UAL12,Digvijay,Deshmukh,India,12-04-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,MI,,,Uncapped,30
547,76,UAL12,Lakshay,Jain,India,05-07-2002,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
548,76,UAL12,Duan,Jansen,South Africa,01-05-2000,24,ALL-ROUNDER,RHB,LEFT ARM Fast,,,,Uncapped,30
549,76,UAL12,Kritagya,Singh,India,25-09-2000,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
550,76,UAL12,P.,Vignesh,India,06-04-2005,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
551,77,UAL13,Sabhay,Chadha,India,07-05-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
552,77,UAL13,Ben,Howell,England,05-10-1988,36,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,PBKS,,,Uncapped,50
553,77,UAL13,Hemanth,Kumar,India,12-12-2004,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
554,77,UAL13,Rohan,Rana,India,12-01-2002,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,Uncapped,30
555,77,UAL13,Bharat,Sharma,India,15-11-1995,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
556,77,UAL13,Pratham,Singh,India,31-08-1992,32,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,"GL,KKR",,,Uncapped,30
557,77,UAL13,Tripurana,Vijay,India,05-09-2001,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
558,77,UAL13,Ravi,Yadav,India,26-12-1997,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
559,78,UAL14,Arjun,Azad,India,08-08-2001,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
560,78,UAL14,Abhay,Choudhary,India,26-06-2002,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
561,78,UAL14,Gaurav,Gambhir,India,26-11-1987,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
562,78,UAL14,Shubham,Garhwal,India,14-05-1995,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
563,78,UAL14,Tejasvi,Jaiswal,India,02-03-1997,28,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,,Uncapped,30
564,78,UAL14,Sairaj,Patil,India,31-10-1996,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
565,78,UAL14,Madhav,Tiwari,India,28-09-2003,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
566,78,UAL14,Kamal,Tripathi,India,15-08-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
567,79,UAL15,Prashant,Chauhan,India,01-04-2001,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,Uncapped,30
568,79,UAL15,Yash,Dabas,India,08-12-2004,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,Uncapped,30
569,79,UAL15,Dhruv,Kaushik,India,11-07-2000,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
570,79,UAL15,Khrievitso,Kense,India,06-03-2004,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
571,79,UAL15,Akash,Parkar,India,20-05-1994,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Uncapped,30
572,79,UAL15,Vignesh,Puthur,India,02-03-2001,24,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,,,,Uncapped,30
573,79,UAL15,Tripuresh,Singh,India,13-04-2002,22,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,Uncapped,30
574,79,UAL15,Vijay,Yadav,India,19-12-2001,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
